Type,ServedBy,Ip,Host,DRAC_IP
Video Server,SPG,10.7.228.26,vls4.SPG.gwn,10.7.228.46
Video Server,HOA,10.9.232.29,vls1.HOA.gwn,10.9.232.42
Video Server,AHA,10.5.220.28,vls2.AHA.gwn,10.5.220.48
Application Server,RICV,10.8.60.10,appserver.RICV.gwn,10.8.60.40
Video Server,DACH,10.13.253.28,vls2.DACH.gwn,10.13.253.48
RAS,SPC,10.9.132.15,ras2.SPC.gwn,10.9.132.45
Video Server,EMO,10.7.168.28,vls2.EMO.gwn,10.7.168.48
Video Server,VIR-E,10.5.136.27,vls3.VVH.gwn,10.5.136.47
Video Server,CHA,10.7.8.29,vls1.CHA.gwn,10.7.8.49
Video Server,UMI,10.7.64.26,vls4.UMI.gwn,10.7.64.46
Video Server,OCM,10.7.238.28,vls2.OCM.gwn,10.7.238.48
Video Server,CAR-E,10.9.0.27,vls3.CRLE.gwn,10.9.0.47
Video Server,TGS,10.7.102.29,vls1.MCM.gwn,10.7.102.49
Video Server,STJ,10.5.76.29,vls1.STJ.gwn,10.5.76.49
Video Server,RSE,10.5.28.29,vls1.RSE.gwn,10.5.28.49
Video Server,BAY-E,10.9.68.27,vls3.BJC.gwn,10.9.68.47
Application Server,ERV,10.8.8.10,appserver.ERV.gwn,10.8.8.40
Application Server,MMW,10.5.246.10,appserver.MMW.gwn,10.5.246.40
Video Server,LFV,10.8.72.29,vls1.LFV.gwn,10.8.72.49
Video Server,LEG-E,10.131.240.29,vls1.LEMA.gwn,10.131.240.49
Application Server,KGAR,10.238.3.131,appserver.KGAR.gwn,10.238.3.130
Video Server,CHC,10.5.240.28,vls2.CWM.gwn,10.5.240.48
Video Server,ACD,10.5.228.28,vls2.ACD.gwn,10.5.228.48
RAS,WELL-E,10.9.80.14,ras1.WELL-E.gwn,10.9.80.44
Video Server,STXV,10.8.148.29,vls1.STXV.gwn,10.8.148.49
Application Server,SLE,10.5.84.10,appserver.SLE.gwn,10.5.84.40
Video Server,USC,10.5.96.29,vls1.USC.gwn,10.5.96.49
