Type,ServedBy,Ip,Host,DRAC_IP
RAS,SAMV,10.8.152.15,ras2.SAMV.gwn,10.8.152.45
Video Server,SPC,10.9.132.28,vls2.SPC.gwn,10.9.132.48
Application Server,SDV,10.8.100.10,appserver.SDV.gwn,10.8.100.40
Video Server,OLO,10.7.4.29,vls1.OLO.gwn,10.7.4.49
Video Server,MIAV,10.8.12.28,vls2.MIAV.gwn,10.8.12.48
Video Server,BAY-E,10.9.56.28,vls2.SAN.gwn,10.9.56.48
Video Server,BAY-E,10.9.64.29,vls1.BJS.gwn,10.9.64.49
RAS,DSJ,10.7.180.15,ras2.DSJ.gwn,10.7.180.45
Video Server,CAC,10.5.52.24,vls6.CAC.gwn,10.5.52.54
Video Server,NCP,10.7.144.28,vls2.NCP.gwn,10.7.144.48
Video Server,FCAR,10.6.32.29,vls1.FCAR.gwn,10.6.32.49
RAS,BIV,10.8.4.15,ras2.BIV.gwn,10.8.4.45
Application Server,CLA,10.108.0.20,appserver.CLA.gwn,10.108.0.40
Video Server,CDE,10.5.208.29,vls1.CDE.gwn,10.5.208.49
Video Server,LEG-E,10.141.240.28,vls2.LEGS.gwn,10.141.240.48
Video Server,ORLV,10.8.40.29,vls1.ORLV.gwn,10.8.40.49
Video Server,ERV,10.8.8.29,vls1.ERV.gwn,10.8.8.49
Video Server,SPM,10.7.20.26,vls4.SPM.gwn,10.7.20.46
Video Server,MOF,10.9.96.29,vls1.MOF.gwn,10.9.96.49
Video Server,SPG,10.7.228.27,vls3.SPG.gwn,10.7.228.47
Test Application Server,SVI,10.9.221.20,apptest.SVI.gwn,10.9.221.41
KVM,SOM,10.7.136.30,kvm.SOM.gwn,10.7.136.40
RAS,DACH,10.13.253.14,ras1.DACH.gwn,10.13.253.44
Video Server,CENH,10.9.223.29,vls1.CENH.gwn,10.9.223.49
Video Server,NAC,10.7.16.27,vls3.NAC.gwn,10.7.16.47
Video Server,CAR,10.7.44.29,vls1.CAR.gwn,10.7.44.49
Video Server,NCP,10.7.144.29,vls1.NCP.gwn,10.7.144.49
Video Server,CIN,10.9.162.28,vls2.CICH.gwn,10.9.162.48
Video Server,PRSV,10.8.132.29,vls1.PRSV.gwn,10.8.132.49
Video Server,MARV,10.8.68.29,vls1.MARV.gwn,10.8.68.49
RAS,CBO,172.28.15.8,ras2.CBO.gwn,172.28.15.21
Video Server,PIJV,10.8.52.28,vls2.PIJV.gwn,10.8.52.48
Application Server,JMO,10.5.176.10,appserver.JMO.gwn,10.5.176.40
RAS,FTBV,10.7.100.15,ras2.FTBV.gwn,10.7.100.45
Application Server,EMO,10.7.168.10,appserver.EMO.gwn,10.7.168.40
RAS,CNM,10.5.16.14,ras1.CNM.gwn,10.5.16.44
Video Server,WJM,10.5.250.28,vls2.WJM.gwn,10.5.250.48
Video Server,MON,10.5.172.28,vls2.MON.gwn,10.5.172.48
RAS,BIV,10.8.4.14,ras1.BIV.gwn,10.8.4.44
Video Server,EXSJ,10.9.100.28,vls2.EXSJ.gwn,10.9.100.48
Video Server,COC,10.5.120.26,vls4.COC.gwn,10.5.120.46
Video Server,VAL,10.9.108.28,vls2.VAL.gwn,10.9.108.48
RAS,TGS,10.7.148.14,ras1.TGS.gwn,10.7.148.44
Video Server,CAR-E,10.9.128.28,vls2.CRME.gwn,10.9.128.48
Application Server,RDL,10.5.8.10,appserver.RDL.gwn,10.5.8.40
Video Server,LLE,10.5.232.28,vls2.LLE.gwn,10.5.232.48
Video Server,NWO,10.7.24.29,vls1.NWO.gwn,10.7.24.49
Video Server,CAR,10.7.44.28,vls2.CAR.gwn,10.7.44.48
Video Server,KPNC-E,10.183.160.134,vls3.KOAK.gwn,10.183.160.198
RAS,PNM,10.9.76.15,ras2.PNM.gwn,10.9.76.45
Video Server,BAY-E,10.9.68.26,vls4.BJC.gwn,10.9.68.46
RAS,SVI,10.9.221.14,ras1.SVI.gwn,10.9.221.44
RAS,OCM,10.7.238.15,ras2.OCM.gwn,10.7.238.45
Video Server,MDV,10.8.92.29,vls1.MDV.gwn,10.8.92.49
Video Server,SOM,10.7.136.29,vls1.SOM.gwn,10.7.136.49
Video Server,LEG-E,10.7.132.29,vls1.LEM.gwn,10.7.132.49
Video Server,BAY-E,10.9.60.29,vls1.SFB.gwn,10.9.60.49
Video Server,WBV,10.8.56.29,vls1.WBV.gwn,10.8.56.49
Video Server,OLA,10.7.0.29,vls1.OLA.gwn,10.7.0.49
Application Server,LEBV,10.8.104.10,appserver.LEBV.gwn,10.8.104.40
Application Server,TXWE,10.7.116.10,appserver.TXWE.gwn,10.7.116.40
RAS,TSPM,10.9.124.15,ras2.TSPM.gwn,10.9.124.45
Video Server,TGS,10.7.152.27,vls3.TBN.gwn,10.7.152.47
Video Server,TGS,10.7.103.29,vls1.BEBU.gwn,10.7.103.49
Video Server,CLA,10.108.0.26,vls4.CLA.gwn,10.108.0.46
Video Server,FWS,10.6.24.29,vls1.FWS.gwn,10.6.24.49
Video Server,TGEN,10.224.0.29,vls1.TGEN.gwn,10.224.0.49
Video Server,TGS,10.7.152.28,vls2.TBN.gwn,10.7.152.48
Video Server,CMC-E,10.7.164.25,vls5.CFE.gwn,10.7.164.55
Video Server,CAR-E,10.9.154.28,vls2.CRNE.gwn,10.9.154.48
Application Server,WTXV,10.8.116.10,appserver.WTXV.gwn,10.8.116.40
Application Server,USC,10.5.96.10,appserver.USC.gwn,10.5.96.40
Video Server,NOR,10.7.184.28,vls2.NOR.gwn,10.7.184.48
Test Application Server,SPG,10.7.228.20,apptest.SPG.gwn,10.7.228.41
Application Server,UPR,10.7.12.10,appserver.UPR.gwn,10.7.12.40
RAS,UCM,165.68.88.22,ras2.UCM.gwn,165.68.88.36
Video Server,CAC,10.5.52.26,vls4.CAC.gwn,10.5.52.46
Application Server,GAIV,10.8.28.10,appserver.GAIV.gwn,10.8.28.40
Video Server,CAR-E,10.9.0.25,vls5.CRLE.gwn,10.9.0.55
Video Server,TSPM,10.9.110.28,vls2.TSIR.gwn,10.9.110.48
Application Server,NOR,10.7.184.10,appserver.NOR.gwn,10.7.184.40
Video Server,CAR-E,10.9.16.29,vls1.CRUN.gwn,10.9.16.49
Test Application Server,NAC,10.7.16.20,apptest.NAC.gwn,10.7.16.41
Video Server,SPG,10.7.228.29,vls1.SPG.gwn,10.7.228.49
Video Server,OLA,10.7.0.24,vls6.OLA.gwn,10.7.0.54
Test Application Server,KPNCTEST,172.20.58.58,ras2.KPNCTEST.gwn,172.20.82.33
Application Server,IAC,10.7.236.10,appserver.IAC.gwn,10.7.236.40
Video Server,CLVT,10.9.144.29,vls1.CLVT.gwn,10.9.144.49
Video Server,TSPM,10.9.109.28,vls2.TSPE.gwn,10.9.109.48
Application Server,SJC,10.7.40.10,appserver.SJC.gwn,10.7.40.40
Video Server,SDV,10.8.100.29,vls1.SDV.gwn,10.8.100.49
Application Server,CHA,10.7.8.10,appserver.CHA.gwn,10.7.8.40
Application Server,PHOV,10.8.108.10,appserver.PHOV.gwn,10.8.108.40
Video Server,BAY-E,10.9.48.28,vls2.MED.gwn,10.9.48.48
Video Server,NTXV,10.8.156.29,vls1.NTXV.gwn,10.8.156.49
Video Server,FTBV,10.7.100.28,vls2.FTBV.gwn,10.7.100.48
RAS,FHS-E,10.6.12.14,ras1.FHS-E.gwn,10.6.12.44
RAS,SELZ-E,10.9.163.14,ras1.SELZ-E.gwn,10.9.163.44
Video Server,CAR-E,10.9.20.29,vls1.STAN.gwn,10.9.20.49
Application Server,CAC,10.5.52.10,appserver.CAC.gwn,10.5.52.40
Application Server,FOC,10.6.28.10,appserver.FOC.gwn,10.6.28.40
Application Server,UPIT,157.229.167.10,appserver.UPIT.gwn,157.229.167.17
Video Server,KPSC-E,10.204.135.12,vls2.KBP.gwn,10.204.135.13
Video Server,EOV,10.8.64.28,vls2.EOV.gwn,10.8.64.48
Application Server,BWO,10.7.212.10,appserver.BWO.gwn,10.7.212.40
Video Server,TJU,10.5.48.29,vls1.TJU.gwn,10.5.48.49
Video Server,CARO,10.9.88.28,vls2.CARO.gwn,10.9.88.48
Video Server,GLM,10.7.176.27,vls3.GLM.gwn,10.7.176.47
RAS,DSJ,10.7.180.14,ras1.DSJ.gwn,10.7.180.40
Video Server,MMB,10.5.224.28,vls2.MMB.gwn,10.5.224.48
Video Server,CENH,10.9.223.28,vls2.CENH.gwn,10.9.223.48
Video Server,DACH,10.13.253.29,vls1.DACH.gwn,10.13.253.49
Video Server,HFB,10.5.112.27,vls3.HFB.gwn,10.5.112.47
Video Server,NBB,10.5.216.29,vls1.KSC.gwn,10.5.216.49
Video Server,IFO,10.5.60.29,vls1.IFO.gwn,10.5.60.49
Video Server,READ,10.10.12.28,vls2.READ.gwn,10.10.12.48
Application Server,PRI,10.5.247.10,appserver.PRI.gwn,10.5.247.40
Video Server,CAR-E,10.9.154.29,vls1.CRNE.gwn,10.9.154.49
Video Server,WDCV,10.8.88.29,vls1.WDCV.gwn,10.8.88.49
RAS,KPSC-E,172.22.183.21,ras1.KPSC-E.gwn,172.22.183.27
Video Server,CAR-E,10.9.16.28,vls2.CRUN.gwn,10.9.16.48
Video Server,WPBV,10.8.16.27,vls3.WPBV.gwn,10.8.16.47
RAS,VIR-E,10.5.0.14,ras1.VIR-E.gwn,10.5.0.44
Test Application Server,CENH,10.9.223.20,apptest.CENH.gwn,10.9.211.40
Video Server,SMMC,10.9.230.28,vls2.SMMC.gwn,10.9.230.48
Video Server,UPIT,157.229.167.19,vls1.UPIT.gwn,157.229.167.18
Video Server,CBO,172.28.15.12,vls2.CBO.gwn,172.28.15.24
RAS,BAY-E,10.9.251.14,ras1.BAY-E.gwn,10.9.251.44
Application Server,UMC,10.7.28.10,appserver.UMC.gwn,10.7.28.40
Video Server,VIR-E,10.5.136.28,vls2.VVH.gwn,10.5.136.48
Video Server,TJU,10.5.48.27,vls3.TJU.gwn,10.5.48.47
Video Server,MARV,10.8.68.28,vls2.MARV.gwn,10.8.68.48
Video Server,SELZ-E,10.9.170.28,vls2.SEFT.gwn,10.9.170.48
Video Server,PNM,10.9.76.26,vls4.PNM.gwn,10.9.76.46
Video Server,READ,10.10.12.29,vls1.READ.gwn,10.10.12.49
Video Server,CAR-E,10.9.184.29,vls1.CBR.gwn,10.9.184.49
Video Server,PSHC,10.7.220.29,vls1.PSHC.gwn,10.7.220.49
Video Server,CDE,10.5.208.28,vls2.CDE.gwn,10.5.208.48
Video Server,UCM,165.68.88.27,vls3.UCC.gwn,165.68.88.37
RAS,TGS,10.7.148.15,ras2.TGS.gwn,10.7.148.45
Video Server,BAY-E,10.9.208.29,vls1.BWH.gwn,10.9.208.49
Video Server,CAR-E,10.9.24.29,vls1.CRCL.gwn,10.9.24.29
RAS,KERV,10.8.144.15,ras2.KERV.gwn,10.8.144.45
RAS,LEG-E,10.12.240.14,ras1.LEG-E.gwn,10.12.240.44
Video Server,UPR,10.7.12.29,vls1.UPR.gwn,10.7.12.49
Application Server,RSM,10.5.132.10,appserver.RSM.gwn,10.5.132.40
Application Server,RAYV,10.8.120.10,appserver.RAYV.gwn,10.8.120.40
Video Server,KPSC-E,10.190.255.134,vls2.KSD.gwn,10.190.255.135
Video Server,BIV,10.8.4.29,vls1.BIV.gwn,10.8.4.49
Video Server,LEG-E,10.141.240.29,vls1.LEGS.gwn,10.141.240.49
Video Server,SAMV,10.8.152.28,vls2.SAMV.gwn,10.8.152.48
Application Server,BPV,10.8.36.10,appserver.BPV.gwn,10.8.36.40
RAS,STXV,10.8.148.14,ras1.STXV.gwn,10.8.148.44
Video Server,CNM,10.5.16.28,vls2.CNM.gwn,10.5.16.48
Video Server,LFV,10.8.72.28,vls2.LFV.gwn,10.8.72.48
Video Server,CAR-E,10.9.0.24,vls6.CRLE.gwn,10.9.0.54
RAS,NAC,10.7.16.14,ras1.NAC.gwn,10.7.16.40
Test Application Server,FTBV,10.7.100.20,apptest.FTBV.gwn,10.7.100.20
Video Server,CAC,10.5.52.29,vls1.CAC.gwn,10.5.52.49
Test Application Server,EXSJ,10.9.100.20,apptest.EXSJ.gwn,10.9.100.41
Video Server,CIN,10.9.162.29,vls1.CICH.gwn,10.9.162.49
Video Server,WACV,10.8.136.28,vls2.WACV.gwn,10.8.136.48
Video Server,SAMV,10.8.152.29,vls1.SAMV.gwn,10.8.152.49
Video Server,COM-E,10.5.44.29,vls1.CHE.gwn,10.5.44.49
Video Server,BAY-E,10.9.52.29,vls1.MEC.gwn,10.9.52.49
Video Server,ACD,10.5.228.29,vls1.ACD.gwn,10.5.228.49
Video Server,KOC,10.7.104.28,vls2.KOC.gwn,10.7.104.48
Video Server,CMG,10.9.138.29,vls3.CMG.gwn,10.9.138.49
Video Server,UPR,10.7.12.28,vls2.UPR.gwn,10.7.12.48
Video Server,COC,10.5.120.27,vls3.COC.gwn,10.5.120.47
RAS,PNM,10.9.76.14,ras1.PNM.gwn,10.9.76.44
Application Server,MARV,10.8.68.10,appserver.MARV.gwn,10.8.68.40
Test Application Server,CBO,172.28.15.9,apptest.CBO.gwn,172.28.15.22
RAS,CARO,10.9.88.15,ras2.CARO.gwn,10.9.88.45
RAS,DACH,10.13.253.15,ras2.DACH.gwn,10.13.253.45
Video Server,JMO,10.5.176.29,vls1.JMO.gwn,10.5.176.49
Video Server,ORLV,10.8.40.27,vls3.ORLV.gwn,10.8.40.47
Video Server,LEG-E,10.131.240.28,vls2.LEMA.gwn,10.131.240.48
RAS,NAC,10.7.16.15,ras2.NAC.gwn,10.7.16.45
Application Server,DCH,10.5.242.10,appserver.DCH.gwn,10.5.242.40
Video Server,RICV,10.8.60.28,vls2.RICV.gwn,10.8.60.48
Application Server,CME,10.242.200.10,appserver.CME.gwn,10.242.200.70
Video Server,SPM,10.7.20.25,vls5.SPM.gwn,10.7.20.55
Video Server,WTXV,10.8.116.29,vls1.WTXV.gwn,10.8.116.49
Video Server,CHC,10.5.144.28,vls2.CHC.gwn,10.5.144.48
Video Server,KPSC-E,10.190.255.132,vls1.KSD.gwn,10.190.255.133
RAS,COM-E,10.5.140.15,ras2.COM-E.gwn,10.5.140.45
RAS,COM-E,10.5.140.14,ras1.COM-E.gwn,10.5.140.44
Video Server,CAR-E,10.9.0.26,vls4.CRLE.gwn,10.9.0.46
Video Server,TGS,10.7.152.26,vls4.TBN.gwn,10.7.152.46
Video Server,WWR,10.5.40.29,vls1.WWR.gwn,10.5.40.49
RAS,VAL,10.9.108.14,ras1.VAL.gwn,10.9.108.44
Video Server,HOI,10.9.234.29,vls1.HOI.gwn,10.9.234.49
Test Application Server,VAL,10.9.108.20,apptest.VAL.gwn,10.9.108.41
Application Server,KCH,10.5.32.10,appserver.KCH.gwn,10.5.32.40
RAS,UMI,10.7.64.14,ras1.UMI.gwn,10.7.64.44
Application Server,NSB,10.7.196.10,appserver.NSB.gwn,10.7.196.40
Video Server,MIAV,10.8.12.29,vls1.MIAV.gwn,10.8.12.49
Video Server,SPM,10.7.20.27,vls3.SPM.gwn,10.7.20.47
Application Server,MON,10.5.172.10,appserver.MON.gwn,10.5.172.40
Video Server,CAR-E,10.9.140.28,vls2.CRLI.gwn,10.9.140.48
Video Server,NSB,10.7.196.28,vls2.NSB.gwn,10.7.196.48
Video Server,KPNC-E,10.241.38.12,vls3.KRED.gwn,10.241.38.22
Video Server,SPM,10.7.20.28,vls2.SPM.gwn,10.7.20.48
Video Server,GLM,10.7.176.29,vls1.GLM.gwn,10.7.176.49
Video Server,SOIN,10.7.128.28,vls2.SOIN.gwn,10.7.128.48
Video Server,RICV,10.8.60.29,vls1.RICV.gwn,10.8.60.49
Video Server,WMC,10.5.24.29,vls1.WMC.gwn,10.5.24.49
Video Server,FHS-E,10.6.8.28,vls2.FCE.gwn,10.6.8.48
Video Server,CAR-E,10.9.20.28,vls2.STAN.gwn,10.9.20.48
Video Server,MMW,10.5.246.29,vls1.MMW.gwn,10.5.246.49
Video Server,WACV,10.8.136.29,vls1.WACV.gwn,10.8.136.49
Application Server,CAL,10.7.48.10,appserver.CAL.gwn,10.7.48.40
Video Server,COC,10.5.120.28,vls2.COC.gwn,10.5.120.48
Video Server,HAS,10.5.80.28,vls2.HAS.gwn,10.5.80.48
RAS,SHH-E,10.9.120.15,ras2.SHH-E.gwn,10.9.120.45
Video Server,NTXV,10.8.156.28,vls2.NTXV.gwn,10.8.156.48
RAS,JDC,10.7.52.15,ras2.JDC.gwn,10.7.52.45
Application Server,FCAR,10.6.32.10,appserver.FCAR.gwn,10.6.32.40
Video Server,CAC,10.5.52.28,vls2.CAC.gwn,10.5.52.48
Video Server,KPNC-E,172.18.120.107,vls1.KPNC-E.gwn,172.19.99.243
Video Server,UCM,165.68.88.28,vls2.UCM.gwn,165.68.88.38
Video Server,CAR-E,10.9.128.29,vls1.CRME.gwn,10.9.128.49
Video Server,CMC-E,10.7.164.28,vls2.CFE.gwn,10.7.164.48
RAS,WACV,10.8.136.15,ras2.WACV.gwn,10.8.136.45
Video Server,OLA,10.7.0.25,vls5.OLA.gwn,10.7.0.55
Test Application Server,GSM,10.220.0.20,apptest.GSM.gwn,10.220.0.41
Application Server,SOIN,10.7.128.10,appserver.SOIN.gwn,10.7.128.40
Video Server,KPSC-E,10.214.182.4,vls1.KPC.gwn,10.214.182.5
Application Server,KOC,10.7.104.10,appserver.KOC.gwn,10.7.104.40
Application Server,GPR,10.9.148.10,appserver.GPR.gwn,10.9.148.40
Test Application Server,CMG,10.9.136.20,apptest.CMG.gwn,10.9.136.41
Video Server,TAMV,10.8.32.27,vls3.TAMV.gwn,10.8.32.47
Video Server,CAR-E,10.9.8.28,vls2.CRPI.gwn,10.9.8.48
Video Server,SVI,10.9.221.28,vls2.SVI.gwn,10.9.221.48
Video Server,WDCV,10.8.88.27,vls3.WDCV.gwn,10.8.88.47
Video Server,VIR-E,10.5.136.29,vls1.VVH.gwn,10.5.136.49
Video Server,KERV,10.8.144.28,vls2.KERV.gwn,10.8.144.48
Application Server,WMC,10.5.24.10,appserver.WMC.gwn,10.5.24.40
Application Server,PRSV,10.8.132.10,appserver.PRSV.gwn,10.8.132.40
Video Server,MOF,10.9.96.28,vls2.MOF.gwn,10.9.96.48
Video Server,KPNC-E,10.183.160.132,vls1.KOAK.gwn,10.183.160.196
Video Server,RSE,10.5.28.28,vls2.RSE.gwn,10.5.28.48
Application Server,IFO,10.5.60.10,appserver.IFO.gwn,10.5.60.40
Application Server,SJV,10.8.20.10,appserver.SJV.gwn,10.8.20.40
RAS,CENH,10.9.223.14,ras1.CENH.gwn,10.9.223.44
Video Server,KPNC-E,10.241.38.11,vls2.KRED.gwn,10.241.38.21
Video Server,BWO,10.7.212.28,vls2.BWO.gwn,10.7.212.48
Video Server,JDC,10.7.52.29,vls1.JDC.gwn,10.7.52.49
Video Server,SOIN,10.7.128.29,vls1.SOIN.gwn,10.7.128.49
Video Server,GPR,10.9.148.29,vls1.GPR.gwn,10.9.148.49
Video Server,DCH,10.5.242.29,vls1.DCH.gwn,10.5.242.49
Application Server,CDE,10.5.208.10,appserver.CDE.gwn,10.5.208.40
Application Server,LLH,10.5.248.10,appserver.LLH.gwn,10.5.248.40
Application Server,CLVT,10.9.144.10,appserver.CLVT.gwn,10.9.144.40
Video Server,AHA,10.5.220.29,vls1.AHA.gwn,10.5.220.49
RAS,GLM,10.7.176.15,ras2.GLM.gwn,10.7.176.45
RAS,RSE,10.5.28.14,ras1.RSE.gwn,10.5.28.44
Video Server,SMM,10.5.238.29,vls1.SMM.gwn,10.5.238.49
RAS,SAMV,10.8.152.14,ras1.SAMV.gwn,10.8.152.44
Application Server,FOM,10.6.20.10,appserver.FOM.gwn,10.6.20.40
Test Application Server,SLE,10.5.84.20,apptest.SLE.gwn,10.5.84.41
